#    L    TT             EE             BB             TE          
   228    0.55577E+04    0.10940E+01    0.15287E-01    0.27089E+02
   229    0.55527E+04    0.11310E+01    0.15428E-01    0.28707E+02
   230    0.55470E+04    0.11697E+01    0.15570E-01    0.30330E+02
   231    0.55406E+04    0.12103E+01    0.15712E-01    0.31958E+02
   232    0.55338E+04    0.12525E+01    0.15854E-01    0.33589E+02
   233    0.55263E+04    0.12968E+01    0.15996E-01    0.35223E+02
   234    0.55181E+04    0.13429E+01    0.16138E-01    0.36859E+02
   235    0.55094E+04    0.13908E+01    0.16281E-01    0.38496E+02
   236    0.55001E+04    0.14406E+01    0.16423E-01    0.40134E+02
   237    0.54901E+04    0.14924E+01    0.16566E-01    0.41772E+02
   238    0.54795E+04    0.15463E+01    0.16709E-01    0.43410E+02
   239    0.54685E+04    0.16020E+01    0.16852E-01    0.45047E+02
   240    0.54567E+04    0.16597E+01    0.16995E-01    0.46680E+02
   241    0.54444E+04    0.17194E+01    0.17138E-01    0.48311E+02
   242    0.54316E+04    0.17812E+01    0.17281E-01    0.49939E+02
   243    0.54182E+04    0.18450E+01    0.17424E-01    0.51563E+02
   244    0.54042E+04    0.19108E+01    0.17567E-01    0.53182E+02
   245    0.53896E+04    0.19788E+01    0.17711E-01    0.54794E+02
   246    0.53745E+04    0.20488E+01    0.17854E-01    0.56402E+02
   247    0.53588E+04    0.21209E+01    0.17997E-01    0.58001E+02
   248    0.53426E+04    0.21953E+01    0.18140E-01    0.59593E+02
   249    0.53260E+04    0.22716E+01    0.18283E-01    0.61177E+02
   250    0.53087E+04    0.23503E+01    0.18426E-01    0.62751E+02
   251    0.52910E+04    0.24309E+01    0.18568E-01    0.64316E+02
   252    0.52726E+04    0.25138E+01    0.18711E-01    0.65870E+02
   253    0.52540E+04    0.25987E+01    0.18853E-01    0.67413E+02
   254    0.52348E+04    0.26859E+01    0.18996E-01    0.68943E+02
   255    0.52150E+04    0.27751E+01    0.19138E-01    0.70462E+02
   256    0.51948E+04    0.28668E+01    0.19280E-01    0.71969E+02
   257    0.51742E+04    0.29603E+01    0.19421E-01    0.73456E+02
   258    0.51530E+04    0.30562E+01    0.19563E-01    0.74935E+02
   259    0.51314E+04    0.31542E+01    0.19704E-01    0.76392E+02
   260    0.51094E+04    0.32544E+01    0.19845E-01    0.77842E+02
   261    0.50870E+04    0.33567E+01    0.19986E-01    0.79262E+02
   262    0.50640E+04    0.34613E+01    0.20126E-01    0.80675E+02
   263    0.50408E+04    0.35680E+01    0.20266E-01    0.82073E+02
   264    0.50171E+04    0.36768E+01    0.20406E-01    0.83449E+02
   265    0.49929E+04    0.37878E+01    0.20545E-01    0.84795E+02
   266    0.49683E+04    0.39010E+01    0.20684E-01    0.86134E+02
   267    0.49433E+04    0.40162E+01    0.20823E-01    0.87444E+02
   268    0.49179E+04    0.41337E+01    0.20961E-01    0.88739E+02
   269    0.48919E+04    0.42532E+01    0.21099E-01    0.90012E+02
