#    L    TT             EE             BB             TE             PP             TP             EP          
   112    0.30191E+04    0.88569E+00    0.00000E+00   -0.30082E+02    0.86927E-07   -0.22340E-04    0.35956E-07
   113    0.30518E+04    0.89681E+00    0.00000E+00   -0.30684E+02    0.86360E-07   -0.30399E-04    0.48926E-07
   114    0.30846E+04    0.90758E+00    0.00000E+00   -0.31280E+02    0.85797E-07   -0.36580E-04    0.58874E-07
   115    0.31177E+04    0.91813E+00    0.00000E+00   -0.31870E+02    0.85238E-07   -0.41030E-04    0.66036E-07
   116    0.31507E+04    0.92824E+00    0.00000E+00   -0.32452E+02    0.84684E-07   -0.43897E-04    0.70650E-07
   117    0.31840E+04    0.93800E+00    0.00000E+00   -0.33026E+02    0.84133E-07   -0.45328E-04    0.72952E-07
   118    0.32175E+04    0.94754E+00    0.00000E+00   -0.33593E+02    0.83588E-07   -0.45469E-04    0.73180E-07
   119    0.32509E+04    0.95672E+00    0.00000E+00   -0.34149E+02    0.83046E-07   -0.44468E-04    0.71568E-07
   120    0.32845E+04    0.96540E+00    0.00000E+00   -0.34696E+02    0.82509E-07   -0.42471E-04    0.68354E-07
   121    0.33181E+04    0.97387E+00    0.00000E+00   -0.35234E+02    0.81976E-07   -0.39625E-04    0.63774E-07
   122    0.33518E+04    0.98183E+00    0.00000E+00   -0.35761E+02    0.81448E-07   -0.36077E-04    0.58064E-07
   123    0.33855E+04    0.98935E+00    0.00000E+00   -0.36277E+02    0.80923E-07   -0.31974E-04    0.51460E-07
   124    0.34192E+04    0.99652E+00    0.00000E+00   -0.36780E+02    0.80403E-07   -0.27461E-04    0.44197E-07
   125    0.34530E+04    0.10033E+01    0.00000E+00   -0.37272E+02    0.79887E-07   -0.22686E-04    0.36512E-07
   126    0.34868E+04    0.10096E+01    0.00000E+00   -0.37751E+02    0.79376E-07   -0.17796E-04    0.28641E-07
   127    0.35206E+04    0.10155E+01    0.00000E+00   -0.38218E+02    0.78868E-07   -0.12935E-04    0.20819E-07
   128    0.35544E+04    0.10210E+01    0.00000E+00   -0.38671E+02    0.78365E-07   -0.82517E-05    0.13281E-07
   129    0.35882E+04    0.10260E+01    0.00000E+00   -0.39110E+02    0.77866E-07   -0.38912E-05    0.62627E-08
   130    0.36221E+04    0.10305E+01    0.00000E+00   -0.39534E+02    0.77371E-07    0.00000E+00    0.00000E+00
   131    0.36559E+04    0.10347E+01    0.00000E+00   -0.39944E+02    0.76880E-07    0.33065E-05   -0.53216E-08
   132    0.36897E+04    0.10383E+01    0.00000E+00   -0.40337E+02    0.76393E-07    0.60357E-05   -0.97142E-08
   133    0.37235E+04    0.10416E+01    0.00000E+00   -0.40717E+02    0.75911E-07    0.82260E-05   -0.13239E-07
   134    0.37572E+04    0.10443E+01    0.00000E+00   -0.41077E+02    0.75432E-07    0.99156E-05   -0.15959E-07
   135    0.37910E+04    0.10466E+01    0.00000E+00   -0.41422E+02    0.74958E-07    0.11143E-04   -0.17934E-07
   136    0.38245E+04    0.10484E+01    0.00000E+00   -0.41748E+02    0.74488E-07    0.11946E-04   -0.19226E-07
   137    0.38581E+04    0.10498E+01    0.00000E+00   -0.42056E+02    0.74021E-07    0.12362E-04   -0.19896E-07
   138    0.38916E+04    0.10506E+01    0.00000E+00   -0.42346E+02    0.73559E-07    0.12431E-04   -0.20007E-07
   139    0.39248E+04    0.10511E+01    0.00000E+00   -0.42617E+02    0.73100E-07    0.12190E-04   -0.19620E-07
   140    0.39581E+04    0.10510E+01    0.00000E+00   -0.42869E+02    0.72646E-07    0.11678E-04   -0.18795E-07
   141    0.39912E+04    0.10505E+01    0.00000E+00   -0.43101E+02    0.72195E-07    0.10932E-04   -0.17594E-07
   142    0.40242E+04    0.10495E+01    0.00000E+00   -0.43312E+02    0.71748E-07    0.99907E-05   -0.16079E-07
   143    0.40572E+04    0.10480E+01    0.00000E+00   -0.43504E+02    0.71305E-07    0.88922E-05   -0.14312E-07
   144    0.40900E+04    0.10461E+01    0.00000E+00   -0.43675E+02    0.70866E-07    0.76747E-05   -0.12352E-07
   145    0.41226E+04    0.10438E+01    0.00000E+00   -0.43825E+02    0.70431E-07    0.63761E-05   -0.10262E-07
   146    0.41553E+04    0.10410E+01    0.00000E+00   -0.43954E+02    0.69999E-07    0.50345E-05   -0.81028E-08
   147    0.41876E+04    0.10378E+01    0.00000E+00   -0.44060E+02    0.69572E-07    0.36881E-05   -0.59358E-08
   148    0.42197E+04    0.10341E+01    0.00000E+00   -0.44145E+02    0.69148E-07    0.23748E-05   -0.38222E-08
   149    0.42518E+04    0.10299E+01    0.00000E+00   -0.44207E+02    0.68727E-07    0.11328E-05   -0.18232E-08
   150    0.42836E+04    0.10255E+01    0.00000E+00   -0.44245E+02    0.68311E-07    0.00000E+00    0.00000E+00
   151    0.43153E+04    0.10206E+01    0.00000E+00   -0.44260E+02    0.67898E-07   -0.99310E-06    0.15983E-08
   152    0.43466E+04    0.10152E+01    0.00000E+00   -0.44253E+02    0.67488E-07   -0.18464E-05    0.29717E-08
   153    0.43779E+04    0.10094E+01    0.00000E+00   -0.44220E+02    0.67083E-07   -0.25673E-05    0.41319E-08
   154    0.44088E+04    0.10033E+01    0.00000E+00   -0.44164E+02    0.66680E-07   -0.31633E-05    0.50912E-08
   155    0.44396E+04    0.99686E+00    0.00000E+00   -0.44083E+02    0.66282E-07   -0.36419E-05    0.58614E-08
   156    0.44700E+04    0.99006E+00    0.00000E+00   -0.43979E+02    0.65887E-07   -0.40104E-05    0.64546E-08
   157    0.45003E+04    0.98291E+00    0.00000E+00   -0.43849E+02    0.65495E-07   -0.42764E-05    0.68826E-08
   158    0.45304E+04    0.97548E+00    0.00000E+00   -0.43694E+02    0.65107E-07   -0.44473E-05    0.71576E-08
   159    0.45601E+04    0.96763E+00    0.00000E+00   -0.43515E+02    0.64722E-07   -0.45304E-05    0.72915E-08
   160    0.45896E+04    0.95950E+00    0.00000E+00   -0.43309E+02    0.64341E-07   -0.45334E-05    0.72962E-08
   161    0.46189E+04    0.95116E+00    0.00000E+00   -0.43079E+02    0.63963E-07   -0.44635E-05    0.71837E-08
   162    0.46479E+04    0.94247E+00    0.00000E+00   -0.42823E+02    0.63588E-07   -0.43282E-05    0.69660E-08
   163    0.46767E+04    0.93350E+00    0.00000E+00   -0.42541E+02    0.63217E-07   -0.41350E-05    0.66551E-08
   164    0.47051E+04    0.92433E+00    0.00000E+00   -0.42235E+02    0.62848E-07   -0.38913E-05    0.62629E-08
   165    0.47333E+04    0.91488E+00    0.00000E+00   -0.41901E+02    0.62484E-07   -0.36045E-05    0.58013E-08
   166    0.47612E+04    0.90530E+00    0.00000E+00   -0.41542E+02    0.62122E-07   -0.32821E-05    0.52823E-08
   167    0.47889E+04    0.89536E+00    0.00000E+00   -0.41158E+02    0.61763E-07   -0.29314E-05    0.47179E-08
   168    0.48162E+04    0.88544E+00    0.00000E+00   -0.40747E+02    0.61408E-07   -0.25599E-05    0.41200E-08
   169    0.48431E+04    0.87524E+00    0.00000E+00   -0.40309E+02    0.61056E-07   -0.21750E-05    0.35006E-08
   170    0.48697E+04    0.86498E+00    0.00000E+00   -0.39846E+02    0.60707E-07   -0.17842E-05    0.28715E-08
   171    0.48959E+04    0.85466E+00    0.00000E+00   -0.39354E+02    0.60361E-07   -0.13948E-05    0.22448E-08
   172    0.49217E+04    0.84421E+00    0.00000E+00   -0.38836E+02    0.60018E-07   -0.10142E-05    0.16324E-08
   173    0.49470E+04    0.83362E+00    0.00000E+00   -0.38292E+02    0.59678E-07   -0.64999E-06    0.10461E-08
   174    0.49720E+04    0.82320E+00    0.00000E+00   -0.37721E+02    0.59341E-07   -0.30944E-06    0.49803E-09
   175    0.49967E+04    0.81265E+00    0.00000E+00   -0.37124E+02    0.59007E-07    0.00000E+00    0.00000E+00
   176    0.50208E+04    0.80218E+00    0.00000E+00   -0.36499E+02    0.58676E-07    0.27246E-06   -0.43851E-09
   177    0.50445E+04    0.79173E+00    0.00000E+00   -0.35848E+02    0.58347E-07    0.50823E-06   -0.81796E-09
   178    0.50678E+04    0.78151E+00    0.00000E+00   -0.35171E+02    0.58022E-07    0.70913E-06   -0.11413E-08
   179    0.50906E+04    0.77123E+00    0.00000E+00   -0.34466E+02    0.57700E-07    0.87699E-06   -0.14115E-08
   180    0.51131E+04    0.76111E+00    0.00000E+00   -0.33736E+02    0.57380E-07    0.10136E-05   -0.16314E-08
   181    0.51350E+04    0.75115E+00    0.00000E+00   -0.32980E+02    0.57063E-07    0.11209E-05   -0.18040E-08
   182    0.51566E+04    0.74142E+00    0.00000E+00   -0.32197E+02    0.56749E-07    0.12006E-05   -0.19323E-08
   183    0.51775E+04    0.73185E+00    0.00000E+00   -0.31389E+02    0.56437E-07    0.12545E-05   -0.20191E-08
   184    0.51982E+04    0.72251E+00    0.00000E+00   -0.30554E+02    0.56128E-07    0.12846E-05   -0.20675E-08
