#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    67    0.17440E+04   -0.45068E+01    0.89109E-05    0.17671E-01   -0.45068E+01    0.27534E+00    0.14337E-09    0.30586E-08    0.89109E-05    0.14337E-09    0.25470E-10    0.11235E-06    0.17671E-01    0.30586E-08    0.11235E-06    0.36253E-01
    68    0.17675E+04   -0.49106E+01    0.86107E-05    0.17264E-01   -0.49106E+01    0.28718E+00    0.24946E-10    0.23332E-08    0.86107E-05    0.24946E-10    0.24586E-10    0.11004E-06    0.17264E-01    0.23332E-08    0.11004E-06    0.36537E-01
    69    0.17912E+04   -0.53217E+01    0.83243E-05    0.16869E-01   -0.53217E+01    0.29922E+00   -0.28958E-09    0.15661E-08    0.83243E-05   -0.28958E-09    0.23742E-10    0.10780E-06    0.16869E-01    0.15661E-08    0.10780E-06    0.36821E-01
    70    0.18152E+04   -0.57418E+01    0.80526E-05    0.16485E-01   -0.57418E+01    0.31150E+00   -0.80745E-09    0.83638E-09    0.80526E-05   -0.80745E-09    0.22936E-10    0.10564E-06    0.16485E-01    0.83638E-09    0.10564E-06    0.37106E-01
    71    0.18393E+04   -0.61731E+01    0.77961E-05    0.16111E-01   -0.61731E+01    0.32401E+00   -0.15104E-08    0.20857E-09    0.77961E-05   -0.15104E-08    0.22165E-10    0.10355E-06    0.16111E-01    0.20857E-09    0.10355E-06    0.37392E-01
    72    0.18636E+04   -0.66171E+01    0.75537E-05    0.15748E-01   -0.66171E+01    0.33674E+00   -0.22781E-08   -0.30934E-09    0.75537E-05   -0.22781E-08    0.21427E-10    0.10152E-06    0.15748E-01   -0.30934E-09    0.10152E-06    0.37679E-01
    73    0.18880E+04   -0.70744E+01    0.73236E-05    0.15395E-01   -0.70744E+01    0.34963E+00   -0.29648E-08   -0.72361E-09    0.73236E-05   -0.29648E-08    0.20721E-10    0.99556E-07    0.15395E-01   -0.72361E-09    0.99556E-07    0.37968E-01
    74    0.19127E+04   -0.75444E+01    0.71045E-05    0.15051E-01   -0.75444E+01    0.36269E+00   -0.34248E-08   -0.10405E-08    0.71045E-05   -0.34248E-08    0.20045E-10    0.97656E-07    0.15051E-01   -0.10405E-08    0.97656E-07    0.38259E-01
    75    0.19376E+04   -0.80255E+01    0.68945E-05    0.14716E-01   -0.80255E+01    0.37591E+00   -0.35121E-08   -0.12662E-08    0.68945E-05   -0.35121E-08    0.19398E-10    0.95816E-07    0.14716E-01   -0.12662E-08    0.95816E-07    0.38552E-01
    76    0.19629E+04   -0.85172E+01    0.66924E-05    0.14391E-01   -0.85172E+01    0.38931E+00   -0.31334E-08   -0.14065E-08    0.66924E-05   -0.31334E-08    0.18777E-10    0.94033E-07    0.14391E-01   -0.14065E-08    0.94033E-07    0.38846E-01
    77    0.19885E+04   -0.90194E+01    0.64974E-05    0.14073E-01   -0.90194E+01    0.40287E+00   -0.24043E-08   -0.14649E-08    0.64974E-05   -0.24043E-08    0.18181E-10    0.92308E-07    0.14073E-01   -0.14649E-08    0.92308E-07    0.39142E-01
    78    0.20144E+04   -0.95334E+01    0.63088E-05    0.13764E-01   -0.95334E+01    0.41662E+00   -0.14926E-08   -0.14444E-08    0.63088E-05   -0.14926E-08    0.17609E-10    0.90636E-07    0.13764E-01   -0.14444E-08    0.90636E-07    0.39440E-01
    79    0.20405E+04   -0.10055E+02    0.61262E-05    0.13463E-01   -0.10055E+02    0.43051E+00   -0.56636E-09   -0.13481E-08    0.61262E-05   -0.56636E-09    0.17061E-10    0.89018E-07    0.13463E-01   -0.13481E-08    0.89018E-07    0.39739E-01
    80    0.20669E+04   -0.10587E+02    0.59489E-05    0.13169E-01   -0.10587E+02    0.44454E+00    0.20656E-09   -0.11788E-08    0.59489E-05    0.20656E-09    0.16534E-10    0.87450E-07    0.13169E-01   -0.11788E-08    0.87450E-07    0.40038E-01
    81    0.20934E+04   -0.11128E+02    0.57765E-05    0.12883E-01   -0.11128E+02    0.45865E+00    0.69285E-09   -0.94194E-09    0.57765E-05    0.69285E-09    0.16028E-10    0.85932E-07    0.12883E-01   -0.94194E-09    0.85932E-07    0.40339E-01
    82    0.21202E+04   -0.11679E+02    0.56089E-05    0.12603E-01   -0.11679E+02    0.47287E+00    0.89776E-09   -0.65192E-09    0.56089E-05    0.89776E-09    0.15542E-10    0.84462E-07    0.12603E-01   -0.65192E-09    0.84462E-07    0.40640E-01
    83    0.21472E+04   -0.12237E+02    0.54462E-05    0.12331E-01   -0.12237E+02    0.48718E+00    0.86114E-09   -0.32551E-09    0.54462E-05    0.86114E-09    0.15075E-10    0.83038E-07    0.12331E-01   -0.32551E-09    0.83038E-07    0.40942E-01
    84    0.21745E+04   -0.12802E+02    0.52885E-05    0.12066E-01   -0.12802E+02    0.50157E+00    0.62286E-09    0.20553E-10    0.52885E-05    0.62286E-09    0.14625E-10    0.81658E-07    0.12066E-01    0.20553E-10    0.81658E-07    0.41243E-01
    85    0.22018E+04   -0.13375E+02    0.51359E-05    0.11808E-01   -0.13375E+02    0.51601E+00    0.22279E-09    0.36951E-09    0.51359E-05    0.22279E-09    0.14193E-10    0.80321E-07    0.11808E-01    0.36951E-09    0.80321E-07    0.41544E-01
    86    0.22294E+04   -0.13954E+02    0.49886E-05    0.11558E-01   -0.13954E+02    0.53052E+00   -0.29788E-09    0.70739E-09    0.49886E-05   -0.29788E-09    0.13778E-10    0.79024E-07    0.11558E-01    0.70739E-09    0.79024E-07    0.41844E-01
    87    0.22574E+04   -0.14539E+02    0.48471E-05    0.11314E-01   -0.14539E+02    0.54508E+00   -0.89268E-09    0.10314E-08    0.48471E-05   -0.89268E-09    0.13378E-10    0.77767E-07    0.11314E-01    0.10314E-08    0.77767E-07    0.42144E-01
    88    0.22854E+04   -0.15129E+02    0.47119E-05    0.11076E-01   -0.15129E+02    0.55968E+00   -0.15138E-08    0.13415E-08    0.47119E-05   -0.15138E-08    0.12993E-10    0.76547E-07    0.11076E-01    0.13415E-08    0.76547E-07    0.42443E-01
    89    0.23137E+04   -0.15727E+02    0.45839E-05    0.10844E-01   -0.15727E+02    0.57433E+00   -0.21135E-08    0.16376E-08    0.45839E-05   -0.21135E-08    0.12621E-10    0.75362E-07    0.10844E-01    0.16376E-08    0.75362E-07    0.42742E-01
    90    0.23422E+04   -0.16330E+02    0.44635E-05    0.10617E-01   -0.16330E+02    0.58897E+00   -0.26439E-08    0.19197E-08    0.44635E-05   -0.26439E-08    0.12263E-10    0.74210E-07    0.10617E-01    0.19197E-08    0.74210E-07    0.43039E-01
    91    0.23709E+04   -0.16937E+02    0.43513E-05    0.10394E-01   -0.16937E+02    0.60362E+00   -0.30668E-08    0.21879E-08    0.43513E-05   -0.30668E-08    0.11917E-10    0.73090E-07    0.10394E-01    0.21879E-08    0.73090E-07    0.43336E-01
    92    0.23998E+04   -0.17550E+02    0.42469E-05    0.10176E-01   -0.17550E+02    0.61824E+00   -0.33819E-08    0.24428E-08    0.42469E-05   -0.33819E-08    0.11583E-10    0.72000E-07    0.10176E-01    0.24428E-08    0.72000E-07    0.43632E-01
    93    0.24291E+04   -0.18167E+02    0.41498E-05    0.99620E-02   -0.18167E+02    0.63283E+00   -0.35984E-08    0.26850E-08    0.41498E-05   -0.35984E-08    0.11261E-10    0.70940E-07    0.99620E-02    0.26850E-08    0.70940E-07    0.43928E-01
    94    0.24584E+04   -0.18787E+02    0.40597E-05    0.97520E-02   -0.18787E+02    0.64736E+00   -0.37255E-08    0.29151E-08    0.40597E-05   -0.37255E-08    0.10950E-10    0.69909E-07    0.97520E-02    0.29151E-08    0.69909E-07    0.44222E-01
    95    0.24879E+04   -0.19412E+02    0.39760E-05    0.95459E-02   -0.19412E+02    0.66183E+00   -0.37726E-08    0.31339E-08    0.39760E-05   -0.37726E-08    0.10650E-10    0.68906E-07    0.95459E-02    0.31339E-08    0.68906E-07    0.44517E-01
    96    0.25175E+04   -0.20039E+02    0.38983E-05    0.93436E-02   -0.20039E+02    0.67623E+00   -0.37487E-08    0.33420E-08    0.38983E-05   -0.37487E-08    0.10361E-10    0.67931E-07    0.93436E-02    0.33420E-08    0.67931E-07    0.44811E-01
    97    0.25475E+04   -0.20670E+02    0.38261E-05    0.91450E-02   -0.20670E+02    0.69053E+00   -0.36632E-08    0.35401E-08    0.38261E-05   -0.36632E-08    0.10081E-10    0.66981E-07    0.91450E-02    0.35401E-08    0.66981E-07    0.45105E-01
    98    0.25777E+04   -0.21300E+02    0.37590E-05    0.89499E-02   -0.21300E+02    0.70474E+00   -0.35253E-08    0.37288E-08    0.37590E-05   -0.35253E-08    0.98117E-11    0.66057E-07    0.89499E-02    0.37288E-08    0.66057E-07    0.45398E-01
    99    0.26080E+04   -0.21934E+02    0.36965E-05    0.87583E-02   -0.21934E+02    0.71881E+00   -0.33442E-08    0.39088E-08    0.36965E-05   -0.33442E-08    0.95516E-11    0.65158E-07    0.87583E-02    0.39088E-08    0.65158E-07    0.45691E-01
   100    0.26386E+04   -0.22567E+02    0.36381E-05    0.85700E-02   -0.22567E+02    0.73275E+00   -0.31292E-08    0.40808E-08    0.36381E-05   -0.31292E-08    0.93006E-11    0.64282E-07    0.85700E-02    0.40808E-08    0.64282E-07    0.45985E-01
   101    0.26693E+04   -0.23203E+02    0.35833E-05    0.83849E-02   -0.23203E+02    0.74662E+00   -0.28894E-08    0.42454E-08    0.35833E-05   -0.28894E-08    0.90584E-11    0.63429E-07    0.83849E-02    0.42454E-08    0.63429E-07    0.46278E-01
   102    0.27005E+04   -0.23837E+02    0.35317E-05    0.82029E-02   -0.23837E+02    0.76027E+00   -0.26342E-08    0.44033E-08    0.35317E-05   -0.26342E-08    0.88245E-11    0.62598E-07    0.82029E-02    0.44033E-08    0.62598E-07    0.46571E-01
