#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    51    0.13985E+04    0.21706E+00    0.15999E-04    0.61911E-01    0.61361E-01    0.21706E+00    0.12043E+00   -0.84444E-08    0.38431E-07    0.11936E-04    0.15999E-04   -0.84444E-08    0.47587E-10    0.23689E-06    0.17212E-06    0.61911E-01    0.38431E-07    0.23689E-06    0.19216E-01    0.58658E-04    0.61361E-01    0.11936E-04    0.17212E-06    0.58658E-04    0.15666E-02
    52    0.14188E+04    0.24159E-01    0.15355E-04    0.60774E-01    0.60699E-01    0.24159E-01    0.12790E+00   -0.89485E-08    0.25815E-07    0.10198E-04    0.15355E-04   -0.89485E-08    0.45584E-10    0.23243E-06    0.17028E-06    0.60774E-01    0.25815E-07    0.23243E-06    0.19610E-01    0.60545E-04    0.60699E-01    0.10198E-04    0.17028E-06    0.60545E-04    0.16106E-02
    53    0.14392E+04   -0.18784E+00    0.14743E-04    0.59652E-01    0.60031E-01   -0.18784E+00    0.13580E+00   -0.89318E-08    0.19581E-07    0.84705E-05    0.14743E-04   -0.89318E-08    0.43691E-10    0.22804E-06    0.16841E-06    0.59652E-01    0.19581E-07    0.22804E-06    0.19991E-01    0.62491E-04    0.60031E-01    0.84705E-05    0.16841E-06    0.62491E-04    0.16542E-02
    54    0.14595E+04   -0.41475E+00    0.14165E-04    0.58543E-01    0.59359E-01   -0.41475E+00    0.14412E+00   -0.85302E-08    0.17020E-07    0.68826E-05    0.14165E-04   -0.85302E-08    0.41903E-10    0.22371E-06    0.16654E-06    0.58543E-01    0.17020E-07    0.22371E-06    0.20357E-01    0.64484E-04    0.59359E-01    0.68826E-05    0.16654E-06    0.64484E-04    0.16975E-02
    55    0.14800E+04   -0.65228E+00    0.13621E-04    0.57446E-01    0.58685E-01   -0.65228E+00    0.15283E+00   -0.78795E-08    0.15425E-07    0.55647E-05    0.13621E-04   -0.78795E-08    0.40210E-10    0.21943E-06    0.16466E-06    0.57446E-01    0.15425E-07    0.21943E-06    0.20707E-01    0.66512E-04    0.58685E-01    0.55647E-05    0.16466E-06    0.66512E-04    0.17403E-02
    56    0.15008E+04   -0.90222E+00    0.13113E-04    0.56358E-01    0.58011E-01   -0.90222E+00    0.16178E+00   -0.70984E-08    0.12665E-07    0.46202E-05    0.13113E-04   -0.70984E-08    0.38606E-10    0.21519E-06    0.16277E-06    0.56358E-01    0.12665E-07    0.21519E-06    0.21040E-01    0.68563E-04    0.58011E-01    0.46202E-05    0.16277E-06    0.68563E-04    0.17827E-02
    57    0.15219E+04   -0.11644E+01    0.12637E-04    0.55279E-01    0.57338E-01   -0.11644E+01    0.17087E+00   -0.62369E-08    0.89096E-08    0.40454E-05    0.12637E-04   -0.62369E-08    0.37085E-10    0.21099E-06    0.16088E-06    0.55279E-01    0.89096E-08    0.21099E-06    0.21356E-01    0.70624E-04    0.57338E-01    0.40454E-05    0.16088E-06    0.70624E-04    0.18246E-02
    58    0.15432E+04   -0.14394E+01    0.12189E-04    0.54210E-01    0.56667E-01   -0.14394E+01    0.18011E+00   -0.53280E-08    0.49047E-08    0.38102E-05    0.12189E-04   -0.53280E-08    0.35643E-10    0.20685E-06    0.15900E-06    0.54210E-01    0.49047E-08    0.20685E-06    0.21654E-01    0.72681E-04    0.56667E-01    0.38102E-05    0.15900E-06    0.72681E-04    0.18661E-02
    59    0.15648E+04   -0.17278E+01    0.11764E-04    0.53150E-01    0.55998E-01   -0.17278E+01    0.18954E+00   -0.44045E-08    0.13967E-08    0.38841E-05    0.11764E-04   -0.44045E-08    0.34274E-10    0.20275E-06    0.15711E-06    0.53150E-01    0.13967E-08    0.20275E-06    0.21936E-01    0.74720E-04    0.55998E-01    0.38841E-05    0.15711E-06    0.74720E-04    0.19072E-02
    60    0.15865E+04   -0.20288E+01    0.11359E-04    0.52099E-01    0.55333E-01   -0.20288E+01    0.19922E+00   -0.34993E-08   -0.86850E-09    0.42370E-05    0.11359E-04   -0.34993E-08    0.32973E-10    0.19869E-06    0.15524E-06    0.52099E-01   -0.86850E-09    0.19869E-06    0.22200E-01    0.76728E-04    0.55333E-01    0.42370E-05    0.15524E-06    0.76728E-04    0.19478E-02
    61    0.16086E+04   -0.23414E+01    0.10970E-04    0.51058E-01    0.54671E-01   -0.23414E+01    0.20924E+00   -0.26438E-08   -0.13665E-08    0.48292E-05    0.10970E-04   -0.26438E-08    0.31735E-10    0.19469E-06    0.15337E-06    0.51058E-01   -0.13665E-08    0.19469E-06    0.22447E-01    0.78690E-04    0.54671E-01    0.48292E-05    0.15337E-06    0.78690E-04    0.19879E-02
    62    0.16307E+04   -0.26666E+01    0.10595E-04    0.50029E-01    0.54014E-01   -0.26666E+01    0.21958E+00   -0.18625E-08   -0.46014E-09    0.55847E-05    0.10595E-04   -0.18625E-08    0.30558E-10    0.19074E-06    0.15152E-06    0.50029E-01   -0.46014E-09    0.19074E-06    0.22679E-01    0.80598E-04    0.54014E-01    0.55847E-05    0.15152E-06    0.80598E-04    0.20276E-02
    63    0.16528E+04   -0.30055E+01    0.10234E-04    0.49011E-01    0.53362E-01   -0.30055E+01    0.23022E+00   -0.11784E-08    0.12658E-08    0.64181E-05    0.10234E-04   -0.11784E-08    0.29437E-10    0.18685E-06    0.14968E-06    0.49011E-01    0.12658E-08    0.18685E-06    0.22895E-01    0.82442E-04    0.53362E-01    0.64181E-05    0.14968E-06    0.82442E-04    0.20669E-02
    64    0.16754E+04   -0.33594E+01    0.98863E-05    0.48008E-01    0.52716E-01   -0.33594E+01    0.24115E+00   -0.61446E-09    0.32268E-08    0.72438E-05    0.98863E-05   -0.61446E-09    0.28369E-10    0.18302E-06    0.14785E-06    0.48008E-01    0.32268E-08    0.18302E-06    0.23098E-01    0.84211E-04    0.52716E-01    0.72438E-05    0.14785E-06    0.84211E-04    0.21057E-02
