#    L    TT             EE             TE             PP             TP          
   290    0.42880E+04    0.71875E+01    0.11144E+03    0.15426E+07    0.72474E+03
   291    0.42563E+04    0.73490E+01    0.11210E+03    0.15362E+07    0.71927E+03
   292    0.42241E+04    0.75115E+01    0.11275E+03    0.15299E+07    0.71387E+03
   293    0.41920E+04    0.76747E+01    0.11335E+03    0.15236E+07    0.70852E+03
   294    0.41596E+04    0.78401E+01    0.11392E+03    0.15173E+07    0.70322E+03
   295    0.41274E+04    0.80063E+01    0.11446E+03    0.15111E+07    0.69798E+03
   296    0.40948E+04    0.81747E+01    0.11496E+03    0.15049E+07    0.69279E+03
   297    0.40621E+04    0.83430E+01    0.11544E+03    0.14987E+07    0.68765E+03
   298    0.40292E+04    0.85135E+01    0.11587E+03    0.14926E+07    0.68257E+03
   299    0.39963E+04    0.86855E+01    0.11626E+03    0.14865E+07    0.67753E+03
   300    0.39633E+04    0.88575E+01    0.11662E+03    0.14805E+07    0.67254E+03
   301    0.39302E+04    0.90309E+01    0.11695E+03    0.14745E+07    0.66759E+03
   302    0.38971E+04    0.92051E+01    0.11725E+03    0.14685E+07    0.66269E+03
   303    0.38639E+04    0.93807E+01    0.11751E+03    0.14626E+07    0.65784E+03
   304    0.38306E+04    0.95578E+01    0.11772E+03    0.14567E+07    0.65303E+03
   305    0.37973E+04    0.97348E+01    0.11790E+03    0.14508E+07    0.64826E+03
   306    0.37640E+04    0.99126E+01    0.11805E+03    0.14450E+07    0.64354E+03
   307    0.37306E+04    0.10091E+02    0.11815E+03    0.14392E+07    0.63886E+03
   308    0.36973E+04    0.10272E+02    0.11823E+03    0.14334E+07    0.63422E+03
   309    0.36640E+04    0.10452E+02    0.11826E+03    0.14277E+07    0.62963E+03
   310    0.36307E+04    0.10632E+02    0.11826E+03    0.14220E+07    0.62507E+03
   311    0.35974E+04    0.10814E+02    0.11822E+03    0.14164E+07    0.62056E+03
   312    0.35642E+04    0.10996E+02    0.11814E+03    0.14107E+07    0.61608E+03
