#    L    TT             EE             BB             TE             PP             TP             EP          
   167    0.47889E+04    0.89536E+00    0.00000E+00   -0.41159E+02    0.61760E-07   -0.29307E-05    0.47145E-08
   168    0.48162E+04    0.88543E+00    0.00000E+00   -0.40748E+02    0.61405E-07   -0.25593E-05    0.41170E-08
   169    0.48431E+04    0.87523E+00    0.00000E+00   -0.40310E+02    0.61053E-07   -0.21745E-05    0.34980E-08
   170    0.48697E+04    0.86497E+00    0.00000E+00   -0.39846E+02    0.60703E-07   -0.17837E-05    0.28694E-08
   171    0.48959E+04    0.85466E+00    0.00000E+00   -0.39354E+02    0.60357E-07   -0.13944E-05    0.22432E-08
   172    0.49217E+04    0.84421E+00    0.00000E+00   -0.38836E+02    0.60014E-07   -0.10140E-05    0.16312E-08
   173    0.49470E+04    0.83362E+00    0.00000E+00   -0.38292E+02    0.59674E-07   -0.64984E-06    0.10454E-08
   174    0.49721E+04    0.82320E+00    0.00000E+00   -0.37722E+02    0.59337E-07   -0.30937E-06    0.49767E-09
   175    0.49967E+04    0.81264E+00    0.00000E+00   -0.37124E+02    0.59003E-07    0.00000E+00    0.00000E+00
   176    0.50208E+04    0.80218E+00    0.00000E+00   -0.36499E+02    0.58672E-07    0.27240E-06   -0.43819E-09
   177    0.50445E+04    0.79173E+00    0.00000E+00   -0.35849E+02    0.58344E-07    0.50811E-06   -0.81737E-09
   178    0.50678E+04    0.78151E+00    0.00000E+00   -0.35171E+02    0.58018E-07    0.70896E-06   -0.11405E-08
   179    0.50906E+04    0.77123E+00    0.00000E+00   -0.34466E+02    0.57696E-07    0.87678E-06   -0.14104E-08
   180    0.51131E+04    0.76111E+00    0.00000E+00   -0.33736E+02    0.57376E-07    0.10134E-05   -0.16302E-08
   181    0.51351E+04    0.75115E+00    0.00000E+00   -0.32980E+02    0.57059E-07    0.11206E-05   -0.18027E-08
   182    0.51566E+04    0.74142E+00    0.00000E+00   -0.32197E+02    0.56745E-07    0.12003E-05   -0.19309E-08
