#    L    TT             EE             BB             TE          
   273    0.47851E+04    0.47527E+01    0.22352E-01    0.94874E+02
   274    0.47576E+04    0.48827E+01    0.22493E-01    0.96022E+02
   275    0.47297E+04    0.50145E+01    0.22634E-01    0.97155E+02
   276    0.47015E+04    0.51483E+01    0.22774E-01    0.98252E+02
   277    0.46730E+04    0.52841E+01    0.22914E-01    0.99334E+02
   278    0.46442E+04    0.54219E+01    0.23054E-01    0.10038E+03
   279    0.46151E+04    0.55615E+01    0.23193E-01    0.10140E+03
   280    0.45858E+04    0.57030E+01    0.23332E-01    0.10240E+03
   281    0.45563E+04    0.58465E+01    0.23470E-01    0.10336E+03
   282    0.45263E+04    0.59916E+01    0.23608E-01    0.10430E+03
   283    0.44963E+04    0.61386E+01    0.23745E-01    0.10521E+03
   284    0.44659E+04    0.62873E+01    0.23882E-01    0.10608E+03
   285    0.44354E+04    0.64379E+01    0.24018E-01    0.10693E+03
   286    0.44046E+04    0.65901E+01    0.24154E-01    0.10774E+03
   287    0.43736E+04    0.67440E+01    0.24290E-01    0.10853E+03
   288    0.43424E+04    0.68995E+01    0.24424E-01    0.10929E+03
   289    0.43110E+04    0.70566E+01    0.24558E-01    0.11001E+03
   290    0.42795E+04    0.72151E+01    0.24692E-01    0.11071E+03
   291    0.42478E+04    0.73758E+01    0.24825E-01    0.11136E+03
   292    0.42157E+04    0.75375E+01    0.24957E-01    0.11199E+03
   293    0.41837E+04    0.77000E+01    0.25089E-01    0.11257E+03
   294    0.41515E+04    0.78646E+01    0.25220E-01    0.11314E+03
   295    0.41193E+04    0.80298E+01    0.25351E-01    0.11366E+03
   296    0.40868E+04    0.81973E+01    0.25481E-01    0.11415E+03
   297    0.40543E+04    0.83647E+01    0.25610E-01    0.11461E+03
   298    0.40215E+04    0.85343E+01    0.25738E-01    0.11503E+03
   299    0.39888E+04    0.87053E+01    0.25866E-01    0.11542E+03
   300    0.39559E+04    0.88763E+01    0.25993E-01    0.11576E+03
   301    0.39229E+04    0.90487E+01    0.26120E-01    0.11608E+03
   302    0.38900E+04    0.92218E+01    0.26246E-01    0.11637E+03
   303    0.38570E+04    0.93963E+01    0.26370E-01    0.11661E+03
   304    0.38239E+04    0.95723E+01    0.26495E-01    0.11682E+03
   305    0.37908E+04    0.97482E+01    0.26618E-01    0.11699E+03
   306    0.37576E+04    0.99248E+01    0.26741E-01    0.11713E+03
   307    0.37245E+04    0.10102E+02    0.26863E-01    0.11722E+03
   308    0.36913E+04    0.10282E+02    0.26984E-01    0.11729E+03
   309    0.36582E+04    0.10460E+02    0.27105E-01    0.11731E+03
   310    0.36251E+04    0.10639E+02    0.27224E-01    0.11730E+03
   311    0.35920E+04    0.10820E+02    0.27343E-01    0.11725E+03
   312    0.35590E+04    0.11000E+02    0.27461E-01    0.11717E+03
   313    0.35260E+04    0.11181E+02    0.27579E-01    0.11704E+03
