#    L    TT             EE             TE             PP             TP          
   257    0.51846E+04    0.29229E+01    0.73711E+02    0.18179E+07    0.25002E+01
   258    0.51635E+04    0.30187E+01    0.75203E+02    0.18100E+07    0.27454E+01
   259    0.51419E+04    0.31167E+01    0.76673E+02    0.18022E+07    0.29652E+01
   260    0.51199E+04    0.32169E+01    0.78135E+02    0.17944E+07    0.31602E+01
   261    0.50975E+04    0.33192E+01    0.79568E+02    0.17867E+07    0.33313E+01
   262    0.50744E+04    0.34238E+01    0.80994E+02    0.17790E+07    0.34793E+01
   263    0.50513E+04    0.35306E+01    0.82405E+02    0.17714E+07    0.36050E+01
   264    0.50275E+04    0.36395E+01    0.83794E+02    0.17639E+07    0.37092E+01
   265    0.50033E+04    0.37506E+01    0.85154E+02    0.17564E+07    0.37928E+01
   266    0.49787E+04    0.38639E+01    0.86507E+02    0.17489E+07    0.38565E+01
   267    0.49536E+04    0.39793E+01    0.87829E+02    0.17415E+07    0.39011E+01
   268    0.49282E+04    0.40970E+01    0.89138E+02    0.17342E+07    0.39275E+01
   269    0.49022E+04    0.42167E+01    0.90424E+02    0.17269E+07    0.39365E+01
   270    0.48760E+04    0.43385E+01    0.91689E+02    0.17197E+07    0.39289E+01
   271    0.48494E+04    0.44624E+01    0.92931E+02    0.17125E+07    0.39055E+01
   272    0.48225E+04    0.45886E+01    0.94144E+02    0.17053E+07    0.38670E+01
   273    0.47952E+04    0.47165E+01    0.95343E+02    0.16982E+07    0.38145E+01
   274    0.47676E+04    0.48468E+01    0.96505E+02    0.16912E+07    0.37485E+01
   275    0.47396E+04    0.49789E+01    0.97652E+02    0.16841E+07    0.36700E+01
   276    0.47114E+04    0.51131E+01    0.98762E+02    0.16772E+07    0.35797E+01
   277    0.46828E+04    0.52493E+01    0.99858E+02    0.16703E+07    0.34785E+01
   278    0.46539E+04    0.53874E+01    0.10092E+03    0.16634E+07    0.33672E+01
   279    0.46248E+04    0.55275E+01    0.10195E+03    0.16566E+07    0.32466E+01
   280    0.45953E+04    0.56694E+01    0.10296E+03    0.16498E+07    0.31175E+01
   281    0.45657E+04    0.58134E+01    0.10394E+03    0.16431E+07    0.29807E+01
   282    0.45357E+04    0.59590E+01    0.10489E+03    0.16364E+07    0.28370E+01
   283    0.45055E+04    0.61065E+01    0.10581E+03    0.16297E+07    0.26872E+01
   284    0.44751E+04    0.62558E+01    0.10670E+03    0.16231E+07    0.25322E+01
   285    0.44444E+04    0.64069E+01    0.10757E+03    0.16166E+07    0.23728E+01
   286    0.44135E+04    0.65597E+01    0.10839E+03    0.16100E+07    0.22097E+01
   287    0.43823E+04    0.67142E+01    0.10919E+03    0.16035E+07    0.20439E+01
   288    0.43510E+04    0.68704E+01    0.10996E+03    0.15971E+07    0.18760E+01
   289    0.43195E+04    0.70282E+01    0.11070E+03    0.15907E+07    0.17069E+01
   290    0.42878E+04    0.71874E+01    0.11141E+03    0.15843E+07    0.15374E+01
   291    0.42560E+04    0.73488E+01    0.11207E+03    0.15780E+07    0.13683E+01
   292    0.42238E+04    0.75113E+01    0.11271E+03    0.15717E+07    0.12005E+01
   293    0.41917E+04    0.76745E+01    0.11331E+03    0.15655E+07    0.10348E+01
   294    0.41592E+04    0.78399E+01    0.11389E+03    0.15593E+07    0.87187E+00
   295    0.41269E+04    0.80061E+01    0.11442E+03    0.15531E+07    0.71264E+00
   296    0.40943E+04    0.81744E+01    0.11493E+03    0.15470E+07    0.55790E+00
   297    0.40616E+04    0.83427E+01    0.11540E+03    0.15409E+07    0.40845E+00
