#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    51    0.13985E+04    0.21761E+00    0.15999E-04    0.86270E-03    0.38428E-05    0.21761E+00    0.12043E+00   -0.84787E-08    0.10022E-07    0.57934E-13    0.15999E-04   -0.84787E-08    0.47609E-10    0.34733E-08    0.78970E-10    0.86270E-03    0.10022E-07    0.34733E-08    0.22878E-05    0.94174E-07    0.38428E-05    0.57934E-13    0.78970E-10    0.94174E-07    0.41433E-07
    52    0.14189E+04    0.24735E-01    0.15355E-04    0.84500E-03    0.36673E-05    0.24735E-01    0.12790E+00   -0.89751E-08    0.86687E-08   -0.69972E-13    0.15355E-04   -0.89751E-08    0.45605E-10    0.34004E-08    0.77104E-10    0.84500E-03    0.86687E-08    0.34004E-08    0.23243E-05    0.95571E-07    0.36673E-05   -0.69972E-13    0.77104E-10    0.95571E-07    0.42114E-07
    53    0.14392E+04   -0.18724E+00    0.14743E-04    0.82792E-03    0.34994E-05   -0.18724E+00    0.13580E+00   -0.89479E-08    0.75329E-08   -0.20404E-12    0.14743E-04   -0.89479E-08    0.43712E-10    0.33301E-08    0.75325E-10    0.82792E-03    0.75329E-08    0.33301E-08    0.23604E-05    0.96972E-07    0.34994E-05   -0.20404E-12    0.75325E-10    0.96972E-07    0.42796E-07
    54    0.14596E+04   -0.41412E+00    0.14165E-04    0.81142E-03    0.33386E-05   -0.41412E+00    0.14412E+00   -0.85359E-08    0.65375E-08   -0.33266E-12    0.14165E-04   -0.85359E-08    0.41923E-10    0.32623E-08    0.73626E-10    0.81142E-03    0.65375E-08    0.32623E-08    0.23960E-05    0.98376E-07    0.33386E-05   -0.33266E-12    0.73626E-10    0.98376E-07    0.43479E-07
    55    0.14800E+04   -0.65163E+00    0.13621E-04    0.79545E-03    0.31842E-05   -0.65163E+00    0.15283E+00   -0.78778E-08    0.56055E-08   -0.44420E-12    0.13621E-04   -0.78778E-08    0.40230E-10    0.31968E-08    0.72002E-10    0.79545E-03    0.56055E-08    0.31968E-08    0.24312E-05    0.99783E-07    0.31842E-05   -0.44420E-12    0.72002E-10    0.99783E-07    0.44163E-07
    56    0.15008E+04   -0.90155E+00    0.13113E-04    0.77999E-03    0.30357E-05   -0.90155E+00    0.16178E+00   -0.70944E-08    0.46793E-08   -0.52785E-12    0.13113E-04   -0.70944E-08    0.38626E-10    0.31335E-08    0.70448E-10    0.77999E-03    0.46793E-08    0.31335E-08    0.24660E-05    0.10119E-06    0.30357E-05   -0.52785E-12    0.70448E-10    0.10119E-06    0.44848E-07
    57    0.15219E+04   -0.11637E+01    0.12637E-04    0.76500E-03    0.28927E-05   -0.11637E+01    0.17087E+00   -0.62347E-08    0.37777E-08   -0.57602E-12    0.12637E-04   -0.62347E-08    0.37105E-10    0.30722E-08    0.68960E-10    0.76500E-03    0.37777E-08    0.30722E-08    0.25003E-05    0.10261E-06    0.28927E-05   -0.57602E-12    0.68960E-10    0.10261E-06    0.45533E-07
    58    0.15433E+04   -0.14387E+01    0.12189E-04    0.75047E-03    0.27553E-05   -0.14387E+01    0.18011E+00   -0.53298E-08    0.29389E-08   -0.58191E-12    0.12189E-04   -0.53298E-08    0.35662E-10    0.30128E-08    0.67533E-10    0.75047E-03    0.29389E-08    0.30128E-08    0.25341E-05    0.10402E-06    0.27553E-05   -0.58191E-12    0.67533E-10    0.10402E-06    0.46219E-07
    59    0.15648E+04   -0.17271E+01    0.11764E-04    0.73636E-03    0.26231E-05   -0.17271E+01    0.18954E+00   -0.44108E-08    0.22012E-08   -0.53875E-12    0.11764E-04   -0.44108E-08    0.34292E-10    0.29553E-08    0.66165E-10    0.73636E-03    0.22012E-08    0.29553E-08    0.25675E-05    0.10544E-06    0.26231E-05   -0.53875E-12    0.66165E-10    0.10544E-06    0.46906E-07
    60    0.15865E+04   -0.20281E+01    0.11359E-04    0.72266E-03    0.24961E-05   -0.20281E+01    0.19922E+00   -0.35087E-08    0.16026E-08   -0.43972E-12    0.11359E-04   -0.35087E-08    0.32991E-10    0.28996E-08    0.64851E-10    0.72266E-03    0.16026E-08    0.28996E-08    0.26003E-05    0.10686E-06    0.24961E-05   -0.43972E-12    0.64851E-10    0.10686E-06    0.47592E-07
