#    L    TT             EE             TE             PP             TP          
   208    0.55389E+04    0.65821E+00   -0.34079E+01    0.22863E+07   -0.10243E+02
   209    0.55461E+04    0.66584E+00   -0.20166E+01    0.22749E+07   -0.11062E+02
   210    0.55527E+04    0.67461E+00   -0.60842E+00    0.22635E+07   -0.11789E+02
   211    0.55586E+04    0.68454E+00    0.81666E+00    0.22522E+07   -0.12427E+02
   212    0.55639E+04    0.69567E+00    0.22577E+01    0.22411E+07   -0.12979E+02
   213    0.55686E+04    0.70803E+00    0.37148E+01    0.22300E+07   -0.13447E+02
   214    0.55727E+04    0.72163E+00    0.51866E+01    0.22190E+07   -0.13835E+02
   215    0.55762E+04    0.73665E+00    0.66726E+01    0.22081E+07   -0.14146E+02
   216    0.55790E+04    0.75291E+00    0.81732E+01    0.21973E+07   -0.14383E+02
   217    0.55813E+04    0.77055E+00    0.96864E+01    0.21865E+07   -0.14549E+02
   218    0.55830E+04    0.78959E+00    0.11213E+02    0.21759E+07   -0.14647E+02
   219    0.55840E+04    0.81002E+00    0.12752E+02    0.21653E+07   -0.14680E+02
   220    0.55845E+04    0.83198E+00    0.14302E+02    0.21548E+07   -0.14651E+02
   221    0.55844E+04    0.85541E+00    0.15863E+02    0.21445E+07   -0.14563E+02
   222    0.55836E+04    0.88045E+00    0.17434E+02    0.21341E+07   -0.14419E+02
   223    0.55822E+04    0.90702E+00    0.19016E+02    0.21239E+07   -0.14222E+02
   224    0.55803E+04    0.93512E+00    0.20605E+02    0.21138E+07   -0.13975E+02
   225    0.55777E+04    0.96491E+00    0.22204E+02    0.21037E+07   -0.13681E+02
   226    0.55746E+04    0.99637E+00    0.23810E+02    0.20937E+07   -0.13344E+02
   227    0.55708E+04    0.10295E+01    0.25424E+02    0.20838E+07   -0.12966E+02
   228    0.55665E+04    0.10643E+01    0.27044E+02    0.20740E+07   -0.12550E+02
   229    0.55615E+04    0.11009E+01    0.28670E+02    0.20642E+07   -0.12100E+02
   230    0.55559E+04    0.11392E+01    0.30301E+02    0.20546E+07   -0.11618E+02
   231    0.55497E+04    0.11794E+01    0.31937E+02    0.20450E+07   -0.11107E+02
   232    0.55429E+04    0.12213E+01    0.33577E+02    0.20354E+07   -0.10570E+02
   233    0.55356E+04    0.12652E+01    0.35219E+02    0.20260E+07   -0.10012E+02
   234    0.55275E+04    0.13109E+01    0.36864E+02    0.20166E+07   -0.94332E+01
   235    0.55189E+04    0.13585E+01    0.38510E+02    0.20073E+07   -0.88383E+01
   236    0.55096E+04    0.14079E+01    0.40157E+02    0.19981E+07   -0.82300E+01
   237    0.54997E+04    0.14594E+01    0.41805E+02    0.19889E+07   -0.76113E+01
   238    0.54892E+04    0.15129E+01    0.43452E+02    0.19798E+07   -0.69851E+01
   239    0.54782E+04    0.15683E+01    0.45099E+02    0.19708E+07   -0.63547E+01
   240    0.54665E+04    0.16256E+01    0.46742E+02    0.19618E+07   -0.57229E+01
   241    0.54543E+04    0.16851E+01    0.48384E+02    0.19529E+07   -0.50928E+01
   242    0.54416E+04    0.17465E+01    0.50022E+02    0.19441E+07   -0.44675E+01
   243    0.54282E+04    0.18100E+01    0.51656E+02    0.19354E+07   -0.38500E+01
   244    0.54143E+04    0.18756E+01    0.53286E+02    0.19267E+07   -0.32433E+01
   245    0.53997E+04    0.19433E+01    0.54909E+02    0.19180E+07   -0.26504E+01
   246    0.53847E+04    0.20131E+01    0.56527E+02    0.19095E+07   -0.20744E+01
   247    0.53691E+04    0.20849E+01    0.58138E+02    0.19009E+07   -0.15184E+01
   248    0.53529E+04    0.21591E+01    0.59741E+02    0.18925E+07   -0.98524E+00
   249    0.53363E+04    0.22352E+01    0.61337E+02    0.18841E+07   -0.47811E+00
   250    0.53191E+04    0.23136E+01    0.62922E+02    0.18758E+07    0.00000E+00
   251    0.53014E+04    0.23941E+01    0.64499E+02    0.18675E+07    0.44671E+00
   252    0.52831E+04    0.24768E+01    0.66066E+02    0.18593E+07    0.86217E+00
   253    0.52645E+04    0.25615E+01    0.67620E+02    0.18511E+07    0.12472E+01
   254    0.52453E+04    0.26486E+01    0.69163E+02    0.18431E+07    0.16027E+01
   255    0.52255E+04    0.27377E+01    0.70694E+02    0.18350E+07    0.19293E+01
   256    0.52053E+04    0.28292E+01    0.72214E+02    0.18270E+07    0.22279E+01
   257    0.51847E+04    0.29227E+01    0.73713E+02    0.18191E+07    0.24994E+01
   258    0.51636E+04    0.30185E+01    0.75205E+02    0.18112E+07    0.27445E+01
   259    0.51420E+04    0.31165E+01    0.76675E+02    0.18034E+07    0.29641E+01
   260    0.51200E+04    0.32166E+01    0.78138E+02    0.17956E+07    0.31589E+01
   261    0.50975E+04    0.33189E+01    0.79571E+02    0.17879E+07    0.33298E+01
   262    0.50745E+04    0.34235E+01    0.80997E+02    0.17803E+07    0.34776E+01
   263    0.50514E+04    0.35302E+01    0.82409E+02    0.17727E+07    0.36031E+01
   264    0.50276E+04    0.36391E+01    0.83798E+02    0.17651E+07    0.37072E+01
