#    L    TT             EE             BB             TE             PP             TP             EP          
   134    0.37573E+04    0.10443E+01    0.00000E+00   -0.41078E+02    0.75423E-07    0.99130E-05   -0.15934E-07
   135    0.37910E+04    0.10466E+01    0.00000E+00   -0.41423E+02    0.74948E-07    0.11140E-04   -0.17905E-07
   136    0.38246E+04    0.10484E+01    0.00000E+00   -0.41748E+02    0.74478E-07    0.11942E-04   -0.19196E-07
   137    0.38581E+04    0.10498E+01    0.00000E+00   -0.42057E+02    0.74011E-07    0.12359E-04   -0.19865E-07
   138    0.38916E+04    0.10506E+01    0.00000E+00   -0.42347E+02    0.73549E-07    0.12428E-04   -0.19976E-07
   139    0.39248E+04    0.10511E+01    0.00000E+00   -0.42617E+02    0.73090E-07    0.12187E-04   -0.19589E-07
   140    0.39581E+04    0.10510E+01    0.00000E+00   -0.42870E+02    0.72636E-07    0.11675E-04   -0.18765E-07
   141    0.39912E+04    0.10505E+01    0.00000E+00   -0.43101E+02    0.72185E-07    0.10929E-04   -0.17567E-07
   142    0.40243E+04    0.10495E+01    0.00000E+00   -0.43313E+02    0.71739E-07    0.99881E-05   -0.16054E-07
   143    0.40573E+04    0.10480E+01    0.00000E+00   -0.43504E+02    0.71296E-07    0.88899E-05   -0.14289E-07
   144    0.40900E+04    0.10461E+01    0.00000E+00   -0.43676E+02    0.70857E-07    0.76727E-05   -0.12333E-07
   145    0.41226E+04    0.10438E+01    0.00000E+00   -0.43826E+02    0.70422E-07    0.63744E-05   -0.10246E-07
   146    0.41553E+04    0.10410E+01    0.00000E+00   -0.43954E+02    0.69991E-07    0.50332E-05   -0.80901E-08
   147    0.41876E+04    0.10378E+01    0.00000E+00   -0.44060E+02    0.69563E-07    0.36871E-05   -0.59265E-08
   148    0.42198E+04    0.10341E+01    0.00000E+00   -0.44145E+02    0.69140E-07    0.23742E-05   -0.38162E-08
   149    0.42519E+04    0.10299E+01    0.00000E+00   -0.44208E+02    0.68720E-07    0.11325E-05   -0.18203E-08
   150    0.42837E+04    0.10255E+01    0.00000E+00   -0.44245E+02    0.68303E-07    0.00000E+00    0.00000E+00
   151    0.43153E+04    0.10206E+01    0.00000E+00   -0.44261E+02    0.67891E-07   -0.99284E-06    0.15958E-08
   152    0.43467E+04    0.10152E+01    0.00000E+00   -0.44253E+02    0.67481E-07   -0.18459E-05    0.29670E-08
   153    0.43779E+04    0.10094E+01    0.00000E+00   -0.44220E+02    0.67076E-07   -0.25666E-05    0.41255E-08
   154    0.44089E+04    0.10033E+01    0.00000E+00   -0.44164E+02    0.66674E-07   -0.31625E-05    0.50832E-08
   155    0.44396E+04    0.99686E+00    0.00000E+00   -0.44084E+02    0.66275E-07   -0.36409E-05    0.58522E-08
   156    0.44700E+04    0.99006E+00    0.00000E+00   -0.43979E+02    0.65880E-07   -0.40094E-05    0.64444E-08
   157    0.45004E+04    0.98291E+00    0.00000E+00   -0.43849E+02    0.65489E-07   -0.42753E-05    0.68718E-08
   158    0.45304E+04    0.97548E+00    0.00000E+00   -0.43695E+02    0.65100E-07   -0.44461E-05    0.71464E-08
   159    0.45601E+04    0.96762E+00    0.00000E+00   -0.43515E+02    0.64716E-07   -0.45293E-05    0.72800E-08
   160    0.45896E+04    0.95949E+00    0.00000E+00   -0.43309E+02    0.64334E-07   -0.45322E-05    0.72847E-08
   161    0.46189E+04    0.95116E+00    0.00000E+00   -0.43079E+02    0.63956E-07   -0.44623E-05    0.71724E-08
   162    0.46479E+04    0.94247E+00    0.00000E+00   -0.42823E+02    0.63581E-07   -0.43271E-05    0.69551E-08
   163    0.46767E+04    0.93350E+00    0.00000E+00   -0.42542E+02    0.63210E-07   -0.41339E-05    0.66446E-08
   164    0.47051E+04    0.92433E+00    0.00000E+00   -0.42235E+02    0.62842E-07   -0.38903E-05    0.62530E-08
   165    0.47333E+04    0.91488E+00    0.00000E+00   -0.41902E+02    0.62477E-07   -0.36036E-05    0.57922E-08
   166    0.47613E+04    0.90529E+00    0.00000E+00   -0.41543E+02    0.62115E-07   -0.32812E-05    0.52740E-08
